"COUNTRY","Q87","withinwt"
"Algeria","Most people can be trusted",1.06054370709107
"Algeria","Must be very careful",1.06054370709107
"Algeria","Must be very careful",1.06054370709107
"Algeria","Must be very careful",1.06054370709107
"Algeria","Must be very careful",1.06054370709107
"Algeria","Must be very careful",1.06054370709107
"Algeria","Must be very careful",1.06054370709107
"Algeria","Must be very careful",1.06054370709107
"Algeria","Most people can be trusted",1.06054370709107
"Algeria","Must be very careful",1.06054370709107
"Algeria","Must be very careful",1.63816126184602
"Algeria","Must be very careful",1.63816126184602
"Algeria","Must be very careful",1.63816126184602
"Algeria","Must be very careful",1.63816126184602
"Algeria","Must be very careful",1.63816126184602
"Algeria","Must be very careful",1.63816126184602
"Algeria","Don't know",1.63816126184602
"Algeria","Must be very careful",1.63816126184602
"Algeria","Must be very careful",1.63816126184602
"Algeria","Must be very careful",1.63816126184602
"Algeria","Must be very careful",0.920180762215464
"Algeria","Must be very careful",0.920180762215464
"Algeria","Must be very careful",0.920180762215464
"Algeria","Must be very careful",0.920180762215464
"Algeria","Must be very careful",0.920180762215464
"Algeria","Must be very careful",0.920180762215464
"Algeria","Must be very careful",0.920180762215464
"Algeria","Must be very careful",0.920180762215464
"Algeria","Must be very careful",0.920180762215464
"Algeria","Must be very careful",0.920180762215464
"Algeria","Most people can be trusted",1.5214897226234
"Algeria","Must be very careful",1.5214897226234
"Algeria","Must be very careful",1.5214897226234
"Algeria","Must be very careful",1.5214897226234
"Algeria","Must be very careful",1.5214897226234
"Algeria","Most people can be trusted",1.5214897226234
"Algeria","Must be very careful",1.5214897226234
"Algeria","Must be very careful",1.5214897226234
"Algeria","Must be very careful",1.5214897226234
"Algeria","Most people can be trusted",1.5214897226234
"Algeria","Must be very careful",1.53982092410079
"Algeria","Must be very careful",1.53982092410079
"Algeria","Must be very careful",1.53982092410079
"Algeria","Must be very careful",1.53982092410079
"Algeria","Must be very careful",1.53982092410079
"Algeria","Must be very careful",1.53982092410079
"Algeria","Must be very careful",1.53982092410079
"Algeria","Must be very careful",1.53982092410079
"Algeria","Must be very careful",1.53982092410079
"Algeria","Must be very careful",1.53982092410079
"Algeria","Must be very careful",1.04045798063899
"Algeria","Don't know",1.04045798063899
"Algeria","Must be very careful",1.04045798063899
"Algeria","Don't know",1.04045798063899
"Algeria","Must be very careful",1.04045798063899
"Algeria","Don't know",1.04045798063899
"Algeria","Must be very careful",1.04045798063899
"Algeria","Must be very careful",1.04045798063899
"Algeria","Must be very careful",1.04045798063899
"Algeria","Must be very careful",1.04045798063899
"Algeria","Must be very careful",1.22427633432689
"Algeria","Must be very careful",1.22427633432689
"Algeria","Must be very careful",1.22427633432689
"Algeria","Must be very careful",1.22427633432689
"Algeria","Must be very careful",1.22427633432689
"Algeria","Must be very careful",1.22427633432689
"Algeria","Must be very careful",1.22427633432689
"Algeria","Must be very careful",1.22427633432689
"Algeria","Must be very careful",1.22427633432689
"Algeria","Must be very careful",3.8944679162195
"Algeria","Must be very careful",3.8944679162195
"Algeria","Must be very careful",3.8944679162195
"Algeria","Most people can be trusted",3.8944679162195
"Algeria","Must be very careful",3.8944679162195
"Algeria","Must be very careful",3.8944679162195
"Algeria","Must be very careful",3.8944679162195
"Algeria","Must be very careful",3.8944679162195
"Algeria","Must be very careful",3.8944679162195
"Algeria","Don't know",3.8944679162195
"Algeria","Must be very careful",1.07923893455102
"Algeria","Must be very careful",1.07923893455102
"Algeria","Must be very careful",1.07923893455102
"Algeria","Must be very careful",1.07923893455102
"Algeria","Must be very careful",1.07923893455102
"Algeria","Must be very careful",1.07923893455102
"Algeria","Must be very careful",1.07923893455102
"Algeria","Must be very careful",1.07923893455102
"Algeria","Must be very careful",1.07923893455102
"Algeria","Must be very careful",1.07923893455102
"Algeria","Most people can be trusted",0.919898240157223
"Algeria","Most people can be trusted",0.919898240157223
"Algeria","Must be very careful",0.919898240157223
"Algeria","Most people can be trusted",0.919898240157223
"Algeria","Must be very careful",0.919898240157223
"Algeria","Most people can be trusted",0.919898240157223
"Algeria","Must be very careful",0.919898240157223
"Algeria","Must be very careful",0.919898240157223
"Algeria","Must be very careful",0.919898240157223
"Algeria","Most people can be trusted",0.919898240157223
"Algeria","Must be very careful",0.71308466701259
"Algeria","Must be very careful",0.71308466701259
"Algeria","Most people can be trusted",0.71308466701259
"Algeria","Must be very careful",0.71308466701259
"Algeria","Must be very careful",0.71308466701259
"Algeria","Most people can be trusted",0.71308466701259
"Algeria","Must be very careful",0.71308466701259
"Algeria","Must be very careful",0.71308466701259
"Algeria","Most people can be trusted",0.71308466701259
"Algeria","Must be very careful",0.71308466701259
"Algeria","Most people can be trusted",0.547649024265669
"Algeria","Most people can be trusted",0.547649024265669
"Algeria","Most people can be trusted",0.547649024265669
"Algeria","Most people can be trusted",0.547649024265669
"Algeria","Most people can be trusted",0.547649024265669
"Algeria","Most people can be trusted",0.547649024265669
"Algeria","Most people can be trusted",0.547649024265669
"Algeria","Most people can be trusted",0.547649024265669
"Algeria","Must be very careful",0.547649024265669
"Algeria","Most people can be trusted",0.547649024265669
"Algeria","Must be very careful",0.977004592477829
"Algeria","Must be very careful",0.977004592477829
"Algeria","Most people can be trusted",0.977004592477829
"Algeria","Must be very careful",0.977004592477829
"Algeria","Most people can be trusted",0.977004592477829
"Algeria","Must be very careful",0.977004592477829
"Algeria","Must be very careful",0.977004592477829
"Algeria","Must be very careful",0.977004592477829
"Algeria","Must be very careful",0.977004592477829
"Algeria","Must be very careful",0.977004592477829
"Algeria","Must be very careful",1.08923279469386
"Algeria","Must be very careful",1.08923279469386
"Algeria","Must be very careful",1.08923279469386
"Algeria","Must be very careful",1.08923279469386
"Algeria","Must be very careful",1.08923279469386
"Algeria","Must be very careful",1.08923279469386
"Algeria","Most people can be trusted",1.08923279469386
"Algeria","Must be very careful",1.08923279469386
"Algeria","Must be very careful",1.08923279469386
"Algeria","Must be very careful",1.19158253730484
"Algeria","Must be very careful",1.19158253730484
"Algeria","Must be very careful",1.19158253730484
"Algeria","Must be very careful",1.19158253730484
"Algeria","Must be very careful",1.19158253730484
"Algeria","Must be very careful",1.19158253730484
