1,United States,83.5
2,United Kingdom,77.9
3,Netherlands,75.6
4,Australia,75.5
5,Canada,75.3
6,Thailand,73.2
7,Sweden,72.1
8,Denmark,70.4
9,South Korea,70.2
10,Finland,68.7
11,France,68.2
12,Slovenia,67.2
13,Switzerland,67
14,Germany,66
15,Spain,65.9
16,Norway,64.6
17,Latvia,62.9
18,Malaysia,62.2
19,Belgium,61
20,Portugal,60.3
21,Japan,59.8
22,Brazil,59.7
23,Ireland,59
24,Singapore,58.7
25,Argentina,58.6
26,Austria,58.5
27,Chile,58.3
28,Mexico,57.6
29,Estonia,57
30,Indonesia,56.6
31,Italy,56.2
32,Poland,55.4
33,Lithuania,55
34,South Africa,54.8
35,Hungary,54
35,New Zealand,54
37,Greece,53.8
38,Croatia,53.3
39,Albania,52.9
40,Turkey,52.4
41,Serbia,52.3
42,Czech Republic,52
42,Georgia,52
44,Armenia,50.2
45,Ecuador,50.1
46,Mongolia,49.5
47,Kyrgyz Republic,49.3
47,Saudi Arabia,49.3
49,Peru,49.2
50,Vietnam,49.1
51,China,48.2
52,Slovakia,47.9
53,Philippines,47.6
54,Israel,47.3
55,Kenya,47.1
56,United Arab Emirates,46.7
57,India,46.5
58,Iceland,46.3
59,Kuwait,46.1
60,Romania,45.8
61,Bulgaria,45.6
62,Costa Rica,45.1
63,Russia,44.3
63,Uganda,44.3
65,Colombia,44.2
65,El Salvador,44.2
67,Luxembourg,43.8
68,Montenegro,43.7
68,Morocco,43.7
68,Panama,43.7
71,Liechtenstein,43.5
72,Myanmar,43.4
73,Laos,43.1
73,Lebanon,43.1
73,Nicaragua,43.1
73,Oman,43.1
77,Cyprus,43
78,Moldova,42.9
79,Bosnia and Herzegovina,42.8
80,Jordan,42.1
81,Uruguay,41.3
82,Qatar,41.2
83,Kazakhstan,40.7
84,Ethiopia,40.6
85,Bhutan,40.3
86,Madagascar,40.1
87,Egypt,39.9
88,Bahrain,39.4
89,Cambodia,39.2
90,North Macedonia,39.1
91,Dominican Republic,38.3
92,Sierra Leone,38.2
92,Zimbabwe,38.2
94,Ukraine,38
95,Senegal,37.9
96,Nigeria,37.8
97,Iran,37.7
98,Malta,37.3
99,Trinidad and Tobago,36.6
100,Suriname,36.5
101,Tanzania,36.4
102,Bolivia,35.8
103,Paraguay,35.7
104,Namibia,35.6
105,Côte d’Ivoire,35.5
105,Ghana,35.5
105,Pakistan,35.5
108,Belarus,35.3
108,St Lucia,35.3
110,Cuba,35.2
111,Liberia,35.1
111,Nepal,35.1
113,Bangladesh,35
114,Mauritius,34.9
115,Cameroon,34.4
116,Uzbekistan,34.3
117,Azerbaijan,34.2
117,Gambia,34.2
117,Rwanda,34.2
120,Sri Lanka,33.9
121,Maldives,33.8
122,Tunisia,33.7
123,St Vincent and The Grenadines,33
124,Micronesia,32.8
125,Guatemala,32.7
125,Guinea,32.7
125,Monaco,32.7
128,Brunei,32.6
128,Togo,32.5
130,Afghanistan,32.3
130,Tajikistan,32.3
132,Niger,32.2
133,Barbados,31.9
133,Seychelles,31.9
135,Belize,31.8
135,Turkmenistan,31.8
137,Guyana,31.7
138,Haiti,31.5
139,Botswana,31.1
139,Eswatini (Swaziland),31.1
139,San Marino,31.1
142,Bahamas,30.6
143,Andorra,30.5
144,Lesotho,30.2
145,Burkina Faso,30.1
146,Cabo Verde,29.3
147,Antigua and Barbuda,29
147,Jamaica,29
147,Mali,29
150,Benin,28.8
150,Chad,28.8
152,Zambia,28.7
153,Mozambique,28.1
154,Malawi,28
155,Papua New Guinea,27.8
156,Honduras,27.6
157,Grenada,27.5
157,Mauritania,27.5
159,Central African Republic,27.3
160,Comoros,27.2
161,Congo Democratic Republic,26.5
162,Samoa,26.4
163,St Kitts and Nevis,26.2
163,Sudan,26.2
165,Vanuatu,26.1
166,Timor Leste,26
167,Iraq,25.8
168,Fiji,25.7
168,Libya,25.7
170,Angola,25.2
171,Tonga,25.1
172,Dominica,24
173,Algeria,23.6
173,Congo Brazzaville,23.6
175,Djibouti,23.2
176,Venezuela,23
177,Burundi,22.8
178,Eritrea,22.4
179,Palau,21.9
180,South Sudan,21.7
181,Tuvalu,21.6
182,Nauru,20.8
183,Solomon Islands,20.7
184,Niue,20.5
185,Cook Islands,20.4
186,Gabon,20
186,Guinea Bissau,20
188,Syria,19.9
189,Kiribati,19.2
190,Yemen,18.5
191,Marshall Islands,18.2
192,São Tomé and Príncipe,17.7
193,North Korea,17.5
194,Somalia,16.6
195,Equatorial Guinea,16.2
