"YEAR","month","temp_mean","country","precip"
2019,"DEC",23.3666666666667,"Actaeon_Group",141.533333333333
2020,"JAN",24.3,"Actaeon_Group",173.5
2020,"FEB",25.4,"Actaeon_Group",185.566666666667
2020,"MAR",26.0333333333333,"Actaeon_Group",170.266666666667
2020,"APR",26.5,"Actaeon_Group",151.9
2020,"MAY",26.5333333333333,"Actaeon_Group",144.1
2020,"JUN",25.9,"Actaeon_Group",137.833333333333
2020,"JUL",24.8666666666667,"Actaeon_Group",130.4
2020,"AUG",23.8,"Actaeon_Group",125.733333333333
2020,"SEP",23.1666666666667,"Actaeon_Group",117.133333333333
2020,"OCT",22.8,"Actaeon_Group",111.266666666667
2020,"NOV",22.8,"Actaeon_Group",112.033333333333
2020,"DEC",23.4,"Actaeon_Group",142.333333333333
2019,"DEC",14.3666666666667,"Afghanistan",7.03333333333334
2020,"JAN",8.46666666666667,"Afghanistan",11.1333333333333
2020,"FEB",4.03333333333333,"Afghanistan",16.6333333333333
2020,"MAR",2.73333333333333,"Afghanistan",28.4
2020,"APR",5.8,"Afghanistan",41.9333333333333
2020,"MAY",10.1333333333333,"Afghanistan",51.4
2020,"JUN",15,"Afghanistan",46.1333333333333
2020,"JUL",19.3333333333333,"Afghanistan",28.9666666666667
2020,"AUG",23.3,"Afghanistan",14.5666666666667
2020,"SEP",25.4,"Afghanistan",5.53333333333334
2020,"OCT",23.9333333333333,"Afghanistan",4.8
2020,"NOV",19.4333333333333,"Afghanistan",6.03333333333334
2020,"DEC",13.4333333333333,"Afghanistan",10.4666666666667
2019,"DEC",13.0666666666667,"Albania",105.433333333333
2020,"JAN",8.53333333333333,"Albania",128.333333333333
2020,"FEB",5.7,"Albania",136.266666666667
2020,"MAR",4.3,"Albania",122.233333333333
2020,"APR",5.33333333333333,"Albania",114.233333333333
2020,"MAY",8.5,"Albania",96.8666666666667
2020,"JUN",13.1666666666667,"Albania",67.6
2020,"JUL",17.3666666666667,"Albania",61.3
2020,"AUG",20.2,"Albania",70.5333333333333
2020,"SEP",22.0333333333333,"Albania",60.2333333333333
2020,"OCT",21.8333333333333,"Albania",35.6666666666667
2020,"NOV",19.2333333333333,"Albania",41.7666666666667
2020,"DEC",14.6,"Albania",62.0333333333333
2019,"DEC",27.6,"Aldabra_Isl",33.2666666666667
2020,"JAN",27.9333333333333,"Aldabra_Isl",156.533333333333
2020,"FEB",28,"Aldabra_Isl",225.233333333333
2020,"MAR",28.0333333333333,"Aldabra_Isl",232.6
2020,"APR",28.2333333333333,"Aldabra_Isl",175.366666666667
2020,"MAY",28.5,"Aldabra_Isl",135.133333333333
2020,"JUN",28.4,"Aldabra_Isl",123.366666666667
2020,"JUL",27.7666666666667,"Aldabra_Isl",67.3
2020,"AUG",26.7666666666667,"Aldabra_Isl",47.5333333333333
2020,"SEP",26.0333333333333,"Aldabra_Isl",31.8333333333333
2020,"OCT",26.1,"Aldabra_Isl",22.3
2020,"NOV",26.5666666666667,"Aldabra_Isl",20.8
2020,"DEC",27.3,"Aldabra_Isl",42.1333333333333
2019,"DEC",6.3,"Aleutians",96.3333333333333
2020,"JAN",3.43333333333333,"Aleutians",101.1
2020,"FEB",1.56666666666667,"Aleutians",92.8666666666667
2020,"MAR",0.866666666666667,"Aleutians",77.6
2020,"APR",0.933333333333334,"Aleutians",67.3
2020,"MAY",1.73333333333333,"Aleutians",62.5333333333333
2020,"JUN",2.76666666666667,"Aleutians",59.8333333333333
2020,"JUL",5.1,"Aleutians",53.6333333333333
2020,"AUG",7.86666666666667,"Aleutians",55.5
2020,"SEP",10.1333333333333,"Aleutians",68.9333333333333
2020,"OCT",10.9333333333333,"Aleutians",81.3333333333333
2020,"NOV",9.66666666666667,"Aleutians",93.6
2020,"DEC",6.86666666666667,"Aleutians",98.1666666666667
2019,"DEC",23.7666666666667,"Algeria",7.73333333333333
2020,"JAN",18.1,"Algeria",8.7
2020,"FEB",14.3,"Algeria",8.93333333333333
2020,"MAR",13.1666666666667,"Algeria",8.76666666666667
2020,"APR",15.1333333333333,"Algeria",10
2020,"MAY",18.5,"Algeria",10.7
2020,"JUN",22.5,"Algeria",10.7666666666667
2020,"JUL",26.7,"Algeria",7.8
2020,"AUG",30.2,"Algeria",4.96666666666667
2020,"SEP",32.2333333333333,"Algeria",3.23333333333333
2020,"OCT",31.8,"Algeria",5.3
2020,"NOV",28.6666666666667,"Algeria",9.66666666666667
2020,"DEC",23.9666666666667,"Algeria",11.6666666666667
2019,"DEC",14.7,"all",67.7
2020,"JAN",11.0666666666667,"all",65.9
2020,"FEB",8.16666666666667,"all",65.6
2020,"MAR",7.16666666666667,"all",65.6666666666666
2020,"APR",8.13333333333333,"all",67.3
2020,"MAY",10.8,"all",66.1
2020,"JUN",14.1333333333333,"all",67.8
2020,"JUL",17.1666666666667,"all",68.8
2020,"AUG",19.4,"all",74.0666666666667
2020,"SEP",20.3666666666667,"all",77.7333333333333
2020,"OCT",19.9333333333333,"all",77.7
2020,"NOV",17.9666666666667,"all",73.5333333333333
2020,"DEC",14.6,"all",68.7
2019,"DEC",12.9666666666667,"Amsterdam_Isl",59.4
2020,"JAN",15.0666666666667,"Amsterdam_Isl",46.4
2020,"FEB",16.8,"Amsterdam_Isl",49.5
2020,"MAR",18.2333333333333,"Amsterdam_Isl",35.7
2020,"APR",18.2666666666667,"Amsterdam_Isl",38.2333333333333
2020,"MAY",17.4333333333333,"Amsterdam_Isl",36.5333333333333
2020,"JUN",15.4333333333333,"Amsterdam_Isl",64.2666666666667
2020,"JUL",13.3,"Amsterdam_Isl",73.7333333333333
2020,"AUG",11.3,"Amsterdam_Isl",102.3
2020,"SEP",10.6,"Amsterdam_Isl",104.1
2020,"OCT",10.4666666666667,"Amsterdam_Isl",94.5666666666667
2020,"NOV",11.5,"Amsterdam_Isl",74.9
2020,"DEC",12.9333333333333,"Amsterdam_Isl",61.0333333333333
2019,"DEC",27.8,"Andaman_Isl",338.666666666667
2020,"JAN",27.6,"Andaman_Isl",189.3
2020,"FEB",27.3,"Andaman_Isl",150.9
2020,"MAR",26.8,"Andaman_Isl",114.9
2020,"APR",26.9666666666667,"Andaman_Isl",84.3
2020,"MAY",27.4333333333333,"Andaman_Isl",57.1666666666667
2020,"JUN",27.8666666666667,"Andaman_Isl",216.733333333333
2020,"JUL",27.6333333333333,"Andaman_Isl",438.466666666667
2020,"AUG",27.3,"Andaman_Isl",499.333333333333
2020,"SEP",26.9666666666667,"Andaman_Isl",532.666666666667
2020,"OCT",26.9666666666667,"Andaman_Isl",421.666666666667
2020,"NOV",26.9,"Andaman_Isl",435.466666666667
2020,"DEC",27.3333333333333,"Andaman_Isl",309.166666666667
2019,"DEC",9.36666666666667,"Andorra",40.4666666666667
2020,"JAN",5.4,"Andorra",45.6333333333333
2020,"FEB",2.93333333333333,"Andorra",71.7333333333333
2020,"MAR",1.36666666666667,"Andorra",82.2
2020,"APR",2.23333333333333,"Andorra",92.6333333333333
2020,"MAY",3.7,"Andorra",110.533333333333
2020,"JUN",7.43333333333333,"Andorra",136.133333333333
2020,"JUL",11.3,"Andorra",132.3
2020,"AUG",15.0666666666667,"Andorra",104.433333333333
2020,"SEP",17.9,"Andorra",91.0333333333333
2020,"OCT",18.1,"Andorra",75.5
2020,"NOV",15.1,"Andorra",110.166666666667
2020,"DEC",10.5666666666667,"Andorra",112.166666666667
2019,"DEC",22.9,"Angola",79.9666666666667
2020,"JAN",23.1,"Angola",126.666666666667
2020,"FEB",22.8666666666667,"Angola",154.066666666667
2020,"MAR",22.8666666666667,"Angola",153.8
2020,"APR",22.8666666666667,"Angola",157.066666666667
2020,"MAY",22.8666666666667,"Angola",142.7
2020,"JUN",22.3,"Angola",100.1
2020,"JUL",20.9,"Angola",43.2
2020,"AUG",19.5666666666667,"Angola",5.96666666666666
2020,"SEP",19.3,"Angola",1.6
2020,"OCT",20.5,"Angola",8.76666666666666
2020,"NOV",22,"Angola",32.9333333333333
2020,"DEC",22.9,"Angola",80.2666666666667
2019,"DEC",27.2,"Anguilla",201.6
2020,"JAN",26.5333333333333,"Anguilla",163.033333333333
2020,"FEB",25.9,"Anguilla",147.7
2020,"MAR",25.0666666666667,"Anguilla",109.566666666667
2020,"APR",24.8666666666667,"Anguilla",98.9333333333333
2020,"MAY",24.9666666666667,"Anguilla",83.2333333333333
2020,"JUN",25.3333333333333,"Anguilla",79.9
2020,"JUL",25.9,"Anguilla",82.3666666666667
2020,"AUG",26.3666666666667,"Anguilla",93.1333333333333
2020,"SEP",27.0333333333333,"Anguilla",104.133333333333
2020,"OCT",27.1666666666667,"Anguilla",127.133333333333
2020,"NOV",27.2,"Anguilla",162.633333333333
2020,"DEC",26.9666666666667,"Anguilla",172.9
2019,"DEC",27.4666666666667,"Antigua_and_Barbuda",280.6
2020,"JAN",26.9,"Antigua_and_Barbuda",259.266666666667
2020,"FEB",26.4,"Antigua_and_Barbuda",231.166666666667
2020,"MAR",25.6333333333333,"Antigua_and_Barbuda",189.266666666667
2020,"APR",25.4333333333333,"Antigua_and_Barbuda",142.233333333333
2020,"MAY",25.5,"Antigua_and_Barbuda",142.966666666667
2020,"JUN",25.8333333333333,"Antigua_and_Barbuda",149.4
2020,"JUL",26.3333333333333,"Antigua_and_Barbuda",152.4
2020,"AUG",26.8333333333333,"Antigua_and_Barbuda",139.9
2020,"SEP",27.4333333333333,"Antigua_and_Barbuda",137.566666666667
2020,"OCT",27.5666666666667,"Antigua_and_Barbuda",166.6
2020,"NOV",27.5,"Antigua_and_Barbuda",243.2
2020,"DEC",27.2333333333333,"Antigua_and_Barbuda",279.266666666667
2019,"DEC",6.2,"Antipodes_Isl",34.3333333333333
2020,"JAN",8.23333333333333,"Antipodes_Isl",38.3333333333333
2020,"FEB",9.96666666666667,"Antipodes_Isl",38.3333333333333
2020,"MAR",10.8666666666667,"Antipodes_Isl",43
